,accession,trivname
549,Q6ZT21,TMPPE_HUMAN
550,P01374,TNFB_HUMAN
551,Q9BWF2,TRAIP_HUMAN
552,P32971,TNFL8_HUMAN
553,Q9BYE2,TMPSD_HUMAN
554,A0A5B9,TRBC2_HUMAN
555,Q9H0R3,TM222_HUMAN
556,P61165,TM258_HUMAN
557,Q96AE7,TTC17_HUMAN
558,P07101,TY3H_HUMAN
559,A0A0B4J275,TVA17_HUMAN
560,A0A1B0GX31,TVB76_HUMAN
561,A0A0A6YYC5,TVA14_HUMAN
562,A0A0K0K1A3,TVBJ1_HUMAN
563,A0A1B0GX51,TVB78_HUMAN
564,A6NNM8,TTL13_HUMAN
565,P55916,UCP3_HUMAN
566,Q5T6F2,UBAP2_HUMAN
567,Q6UW78,UQCC3_HUMAN
568,O75841,UPK1B_HUMAN
569,Q70EL1,UBP54_HUMAN
570,D6RA61,U17LM_HUMAN
571,P15374,UCHL3_HUMAN
572,Q86V25,VASH2_HUMAN
573,Q99437,VATO_HUMAN
574,Q96LB4,VATG3_HUMAN
575,Q7Z5L0,VMO1_HUMAN
576,O95785,WIZ_HUMAN
577,Q96G27,WBP1_HUMAN
578,Q96P53,WDFY2_HUMAN
579,Q93098,WNT8B_HUMAN
580,O15213,WDR46_HUMAN
581,Q9Y2I8,WDR37_HUMAN
582,P63119,VPK21_HUMAN
583,Q9UIA9,XPO7_HUMAN
584,Q6ZQQ6,WDR87_HUMAN
585,Q96QU8,XPO6_HUMAN
586,Q5GH72,XKR7_HUMAN
587,Q8IUA0,WFDC8_HUMAN
588,A8MUA0,YB057_HUMAN
589,Q96MT0,YJ006_HUMAN
590,A6NL46,YF016_HUMAN
591,Q9H8V8,YD018_HUMAN
592,Q86Y25,Z354C_HUMAN
593,Q9P0L1,ZKSC7_HUMAN
594,O60765,Z354A_HUMAN
595,Q52M93,Z585B_HUMAN
596,Q9BY31,ZN717_HUMAN
597,Q96H86,ZN764_HUMAN
598,Q86SH2,ZAR1_HUMAN
599,Q9BQ24,ZFY21_HUMAN
600,Q7Z3T8,ZFY16_HUMAN
601,Q96JP5,ZFP91_HUMAN
602,O60844,ZG16_HUMAN
603,P0CG00,ZSA5D_HUMAN
604,P36508,ZNF76_HUMAN
605,Q96JC4,ZN479_HUMAN
606,Q9NZV7,ZIM2_HUMAN
607,A8MWP4,YU008_HUMAN
608,Q6P280,ZN529_HUMAN
609,Q8NAQ8,YP023_HUMAN
610,Q96N95,ZN396_HUMAN
611,Q9UKF6,CPSF3_HUMAN
612,A8MZG2,CP090_HUMAN
613,Q49B96,COX19_HUMAN
614,Q96J86,CYYR1_HUMAN
615,Q5VU92,DC121_HUMAN
616,Q9H9R9,DBND1_HUMAN
617,Q6ZPD9,D19L3_HUMAN
618,P53355,DAPK1_HUMAN
619,Q7L014,DDX46_HUMAN
620,Q9Y315,DEOC_HUMAN
621,Q07507,DERM_HUMAN
622,Q8WW22,DNJA4_HUMAN
623,Q7L2E3,DHX30_HUMAN
624,P18858,DNLI1_HUMAN
625,O60879,DIAP2_HUMAN
626,Q9UBT3,DKK4_HUMAN
627,P49184,DNSL1_HUMAN
628,Q8NCG7,DGLB_HUMAN
629,Q9NX36,DJC28_HUMAN
630,Q03001,DYST_HUMAN
631,Q6ZS02,DMP46_HUMAN
632,Q9H2P9,DPH5_HUMAN
633,Q15768,EFNB3_HUMAN
634,Q9BUY7,EFC11_HUMAN
635,O71037,ENK19_HUMAN
636,Q8N4Y2,EFC4A_HUMAN
637,P50402,EMD_HUMAN
638,A0A494C0Y3,F246A_HUMAN
639,Q5BKY9,F133B_HUMAN
640,O43414,ERI3_HUMAN
641,A1L162,ERIC2_HUMAN
642,Q6ZVS7,F183B_HUMAN
643,Q8N9E0,F133A_HUMAN
644,Q96IV6,FXDC2_HUMAN
645,Q5VVW2,GARL3_HUMAN
646,P08151,GLI1_HUMAN
647,P48060,GLIP1_HUMAN
648,P0CG01,GKN3_HUMAN
649,Q9NQX3,GEPH_HUMAN
650,A6NH11,GLTD2_HUMAN
651,O76003,GLRX3_HUMAN
652,A4D1B5,GSAP_HUMAN
653,Q68CP4,HGNAT_HUMAN
654,P42261,GRIA1_HUMAN
655,P42263,GRIA3_HUMAN
656,A6NFD8,HELT_HUMAN
657,P26927,HGFL_HUMAN
658,Q8WVV9,HNRLL_HUMAN
659,O00479,HMGN4_HUMAN
660,A0A0C4DH36,HV338_HUMAN
661,P0CJ71,HMN4_HUMAN
662,P0CF74,IGLC6_HUMAN
663,Q14626,I11RA_HUMAN
664,Q9UKT9,IKZF3_HUMAN
665,Q9H1K1,ISCU_HUMAN
666,Q6ZVL6,K154L_HUMAN
667,Q5TA45,INT11_HUMAN
668,P05154,IPSP_HUMAN
669,P05111,INHA_HUMAN
670,Q96RR4,KKCC2_HUMAN
671,Q8TBB5,KLDC4_HUMAN
672,Q3LI66,KRA62_HUMAN
673,Q9BYR4,KRA43_HUMAN
674,Q107X0,KRIP1_HUMAN
675,Q9H7L2,KI3X1_HUMAN
676,Q8N7Y1,KIAS3_HUMAN
677,Q9NPC2,KCNK9_HUMAN
678,Q9P0G3,KLK14_HUMAN
679,P06310,KV230_HUMAN
680,P01599,KV117_HUMAN
681,Q9GIP4,LAT1L_HUMAN
682,Q6UWW0,LCN15_HUMAN
683,Q92615,LAR4B_HUMAN
684,Q5T7P3,LCE1B_HUMAN
685,Q8NC56,LEMD2_HUMAN
686,O75023,LIRB5_HUMAN
687,Q9C099,LRCC1_HUMAN
688,P53671,LIMK2_HUMAN
689,Q96JA1,LRIG1_HUMAN
690,Q9BYJ1,LOXE3_HUMAN
691,P20700,LMNB1_HUMAN
692,Q9Y608,LRRF2_HUMAN
693,Q07954,LRP1_HUMAN
694,Q5VZF2,MBNL2_HUMAN
695,Q13233,M3K1_HUMAN
696,Q9BY19,M4A8_HUMAN
697,Q93074,MED12_HUMAN
